docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t8cf9tk39,1880,1880,1880,random,9605999,,"Kyner, James Henry,","Omaha, Neb.;H. Gibson, H. Gibson, Herald printing establishment;1880.",,"Odes, hymns and songs of the G. A. R",,,,,,1846,m,us,,,
njp.32101068168077,1880,1880,1880,random,8968415,,"Craik, Dinah Maria Mulock,",London;Macmillan;1880.,,Thirty years,,,,,,1826,f,uk,,,
uc2.ark+=13960=t3xs5ms31,1880,1880,1880,random,1186856,,"Symonds, John Addington,","London;Smith, Elder;1880.",,New and old,,,,,,1840,m,uk,,,
uc2.ark+=13960=t4pk09t89,1880,1880,1880,random,6509047,,"St. John, Charles Henry.",Boston;Williams;1880.,,Country love and city life,,,,,,1830,m,,,,
uc2.ark+=13960=t5w66g25p,1884,1884,1880,random,7693259,,"Turner, Charles Tennyson,",London;Macmillan;1884.,,"Collected sonnets, old and new",,,,,,1808,m,uk,,,
nyp.33433076013501,1880,1880,1880,random,8656061,,"Currier, Moody,","Manchester, N.H.;Mirror Press;1880.",,Early poems,,,,,,1806,m,us,,,
nyp.33433082171996,1880,1880,1880,random,8656280,,"Goddard, Sextus P.","Worcester, Mass.;L. P. Goddard;1880.",,"Buds, briars and berries",,,,,,1836,m,us,,,
uc1.b798791,1879,1879,1879,reviewed,6103025,3110682,"Ryan, Abram Joseph,",Mobile;J. L. Rapier & co.;1879,,Father Ryan's poems,rev,,,1880,ATL,1838,m,us,,,
nyp.33433066643903,1879,1879,1879,reviewed,8660011,16409225,"Bates, Charlotte Fiske,","Boston;A. Williams and Co.;1881, c1879.",,"Risk, and other poems",pub,,,1870,ATL,1838,f,us,,,
loc.ark+=13960=t5t72zr45,1879,1879,1879,random,9575256,,"Eastman, Elaine Goodale,",New York;G. P. Putnam's sons;1879-80.,,In Berkshire with the wild flowers,,,,,,1863,f,us,,,
loc.ark+=13960=t46q2j373,1880,1880,1878,random,9560074,,"Jones, Julia Clinton.",New York;R. Worthington;1880.,,Valhalla,,,,,,1842,f,us,,,
wu.89098011836,1878,1878,1878,random,5946347,,"Bell, Lura,","Augusta, Me.;s.n.;1878.",,Echoes of time and tide,,,,,,1859,f,us,,,
uc1.b3315087,1900,1900,1878,random,6130679,,"Riley, James Whitcomb,",Indianapolis;Bobbs-Merrill;c1900,,The flying islands of the night,,,,,,1849,m,us,,Well-known,
uc2.ark+=13960=t7vm4642f,1878,1878,1878,reviewed,6518314,2495953,"Elliot, Charlotte,",London;C. Kegan Paul & Co.;1878.,,Medusa and other poems,rev,pos,,1878,BM,1789,f,uk,,,
uc2.ark+=13960=t9p26w55v,1878,1878,1878,reviewed,7691551,4077880,"Phillips, Susan K.",London;Macmillan;1878.,,On the seaboard,rev,,,1879,COR,1831,f,uk,,,
uc2.ark+=13960=t5fb55w84,1878,1878,1878,reviewed,1112868,999472,"Swinburne, Algernon Charles,",London;Chatto and Windus ...;1878.,,"Poems and ballads, second series",pub,,,1874,FR,1837,m,uk,,,y
loc.ark+=13960=t5n881k59,1878,1878,1878,reviewed,8961861,3816064,"Fawcett, Edgar,",Boston;Roberts brothers;1878.,,Fantasy and passion,rev,pos,,1878,ATL,1847,m,us,,,
loc.ark+=13960=t9w09kt0j,1878,1878,1878,reviewed,8656166,3171635,"Gilder, Richard Watson,",New York;C. Scribner's sons;1878.,,The poet and his master,rev,neg,,1879,ATL,1844,m,us,,,
loc.ark+=13960=t00z7s04j,1878,1878,1878,reviewed,9605205,,"McKnight, George,",New York;H. Holt and company;1878.,,"Life and faith, sonnets",rev,pos,,1879,ATL,1840,m,us,,,
uc2.ark+=13960=t0qr4p29x,1878,1878,1878,random,1907824,,"Hopkins, Alphonso A.",1878,,"Waifs, and their authors",,,,,,,,,,anthology of 'newspaper poets',
njp.32101068177599,1878,1878,1878,random,8969083,,"Edwards, Alfred.",Plymouth;Brendon;1878.,,Incidents in the career of Coeur de Lion,,,,,,,,,,,
loc.ark+=13960=t8ff4bv0c,1878,1878,1878,random,9596023,,"Means, Alexander,",New York;E. J. Hale & son;1878.,,A cluster of poems,,,,,,1801,m,us,,,
uc1.b273058,1878,1878,1878,random,8009602,,"Poston, Charles D.",San Francisco;A. L. Bancroft & Company;1878.,,Apache-land,,,,,,1825,m,us,,,
uc2.ark+=13960=t7kp7vd46,1878,1878,1878,random,7654035,,"Brunton, William,","Boston;s.n.;1879, c1878.",,Daisies,,,,,,1850,m,us,,,
loc.ark+=13960=t3rv14c6x,1878,1878,1878,random,9573071,,"Murphy, John Albert,",Chicago;M. Warren;1878.,,Cosmostoria,,,,,,1837,m,us,,,
uc1.b253348,1878,1878,1878,random,6504377,,"Cowan, Frank,","Greensburg, Pa.;Printed by the Author;1878.",,Southwestern Pennsylvania in song and story,,,,,,1844,m,us,,,
uc2.ark+=13960=t48p67m2g,1878,1878,1877,reviewed,1024247,2156914,"Patmore, Coventry Kersey Dighton,",London;G. Bell;1878.,,The unknown Eros,rev,pos,,1897,FR,1823,m,uk,,,
uc1.b182449,1877,1877,1877,reviewed,1023623,4023098,"Dobson, Austin,",London;H. S. King;1877.,,"Proverbs in porcelain, and other verses",rev,,,1877,COR,1840,m,uk,,,
uc1.b255800,1877,1877,1877,random,,,"Budge, Jane,",London;S. Harris;1877.,,Poems.,,,,,,,f,uk,,,
mdp.39015071556941,1877,1877,1877,random,3149243,,"King, Delia Chase","Ypsilanti, Mich.;Commercial Steam Printing House;1877.",,The tidal wave,,,,,,,f,us,,,
uc1.b3315153,1875,1875,1875,reviewed,6130725,4141256,"Scott, William Bell,","London;Longmans, Green;1875.",,Poems,pub,,,1868,FR,1811,m,uk,,,
uc2.ark+=13960=t07w68f3s,1875,1875,1875,reviewed,323743,15225552,"Lathrop, George Parsons,",Boston;J. R. Osgood and company;1875.,,Rose and roof-tree,rev,,,1875,ATL,1851,m,us,,,
uc2.ark+=13960=t82j69g7s,1875,1875,1875,reviewed,7651784,10194272,"Baker, George Augustus,",New York;Patterson;1875.,,Point lace and diamonds,rev,,,1875,ATL,1849,m,us,,,
loc.ark+=13960=t9r21qp19,1880,1880,1875,reviewed,9566854,,"Gilder, Richard Watson,",New York;C. Scribner's sons;1880.,,The new day,rev,,,1875,ATL,1844,m,us,,,
nyp.33433076026503,1875,1875,1875,reviewed,8689573,2544849,"Cranch, Christopher Pearse,",Boston;James R. Osgood and Company;1875.,,The bird and the bell,rev,,,1875,ATL,1813,m,us,,,
uc1.b119720,1875,1875,1875,random,,,"Veitch, John,",,,"The Tweed, and Other Poems",,,,,,1829,m,uk,,,
uc1.b119185,1875,1875,1875,random,,,"Anderson, Alexander",,,The Two Angels,,,,,,1845,m,uk,,,
uc2.ark+=13960=t7gq6x66b,1875,1875,1875,reviewed,,,"Swinburne, Algernon Charles,",London;Chatto and Windus ...;1875.,,Songs of two nations,,,,1873,FR,1837,m,uk,,,y
nyp.33433066625991,1875,1875,1875,random,8657429,,"Peckham, P. Annetta.",Chicago;Peckham;1875.,,Welded links,,,,,,,,,,,
uc2.ark+=13960=t14m95k32,1875,1875,1875,random,7693552,,"Waller, Bryan Charles.",London;George Bell and Sons;1875.,,The twilight land,,,,,,1853,m,uk,,,
mdp.39015065460522,1875,1875,1875,random,5265257,,"Moffat, James C.",New York;Anson D.F. Randolph & Company ...;c1875.,,Alwyn,,,,,,1811,m,uk,,,
uc2.ark+=13960=t1bk1c13v,1875,1875,1875,random,7691866,,"Rhoades, James,",London;H.S. King;1875.,,Timoleon;,,,,,,1841,m,uk,,,
