filename,id,language,date,author,title,gender,person,length
"EN_1891_Doyle,ArthurConan_TheDoingsofRafflesHaw_Novel.txt",249,English,1891,"Doyle,ArthurConan",TheDoingsofRafflesHaw,male,third,37939
"EN_1891_Gissing,George_NewGrubStreet_Novel.txt",250,English,1891,"Gissing,George",NewGrubStreet,male,third,185580
"EN_1891_Hardy,Thomas_TessoftheD'Urbervilles_Novel.txt",251,English,1891,"Hardy,Thomas",TessoftheD'Urbervilles,male,third,148451
"EN_1893_Gissing,George_TheOddWomen_Novel.txt",252,English,1893,"Gissing,George",TheOddWomen,male,third,138057
"EN_1893_Grand,Sarah_TheHeavenlyTwins_Novel.txt",253,English,1893,"Grand,Sarah",TheHeavenlyTwins,female,third,280635
"EN_1893_Harraden,Beatrice_ShipsThatPassintheNight_Novel.txt",254,English,1893,"Harraden,Beatrice",ShipsThatPassintheNight,female,third,37378
"EN_1894_Freeman,MaryWilkins_Pembroke_Novel.txt",255,English,1894,"Freeman,MaryWilkins",Pembroke,female,third,78862
"EN_1894_Hope,Anthony_ThePrisonerofZenda_Novel.txt",256,English,1894,"Hope,Anthony",ThePrisonerofZenda,male,first,53541
"EN_1894_Kipling,Rudyard_TheJungleBook_Novel.txt",257,English,1894,"Kipling,Rudyard",TheJungleBook,male,third,51455
"EN_1895_Crane,Stephen_TheRedBadgeofCourage_Novel.txt",258,English,1895,"Crane,Stephen",TheRedBadgeofCourage,male,third,46049
"EN_1895_Wells,H.G._TheTimeMachine_Novel.txt",259,English,1895,"Wells,H.G.",TheTimeMachine,male,first,32290
"EN_1897_Stoker,Bram_Dracula_Novel.txt",260,English,1897,"Stoker,Bram",Dracula,male,first,160108
"EN_1898_Crockett,SR_TheRedAxe_Novel.txt",261,English,1898,"Crockett,SR",TheRedAxe,male,first,110561
"EN_1899_Chopin,Kate_TheAwakening_Novel.txt",262,English,1899,"Chopin,Kate",TheAwakening,female,third,49702
"EN_1899_Conrad,Joseph_HeartofDarkness_Novel.txt",263,English,1899,"Conrad,Joseph",HeartofDarkness,male,third,37896
"EN_1900_Barr,Amelia_TheMaidofMaidenLane_Novel.txt",264,English,1900,"Barr,Amelia",TheMaidofMaidenLane,female,third,80379
"EN_1900_Dreiser,Theodore_SisterCarrie_Novel.txt",265,English,1900,"Dreiser,Theodore",SisterCarrie,male,third,156048
"EN_1900_Kipling,Rudyard_Kim_Novel.txt",266,English,1900,"Kipling,Rudyard",Kim,male,third,104785
"EN_1901_Norris,Frank_TheOctopus_Novel.txt",267,English,1901,"Norris,Frank",TheOctopus,male,third,195658
"EN_1902_Bellamy,Edward_Eleonora_Novel.txt",268,English,1902,"Bellamy,Edward",Eleonora,male,third,72785
"EN_1902_Bennett,Arnold_GrandBabylonHotel_Novel.txt",269,English,1902,"Bennett,Arnold",GrandBabylonHotel,male,third,67470
"EN_1903_James,Henry_TheAmbassadors_Novel.txt",270,English,1903,"James,Henry",TheAmbassadors,male,third,154779
"EN_1903_London,Jack_TheCalloftheWild_Novel.txt",271,English,1903,"London,Jack",TheCalloftheWild,male,third,31764
"EN_1903_Norris,Frank_ThePit_Novel.txt",272,English,1903,"Norris,Frank",ThePit,male,third,123831
"EN_1904_Murfree,MaryNoailles_TheFrontiersman_Novel.txt",273,English,1904,"Murfree,MaryNoailles",TheFrontiersman,female,third,65494
"EN_1905_Orczy,Emma_TheScarletPimpernel_Novel.txt",274,English,1905,"Orczy,Emma",TheScarletPimpernel,female,third,83906
"EN_1905_Wharton,Edith_TheHouseofMirth_Novel.txt",275,English,1905,"Wharton,Edith",TheHouseofMirth,female,third,129071
"EN_1906_London,Jack_WhiteFang_Novel.txt",276,English,1906,"London,Jack",WhiteFang,male,third,71951
"EN_1906_Sinclair,Upton_TheJungle_Novel.txt",277,English,1906,"Sinclair,Upton",TheJungle,male,third,149040
"EN_1906_Stein,Gertrude_ThreeLives_Novel.txt",278,English,1906,"Stein,Gertrude",ThreeLives,female,third,86050
"EN_1908_Forster,E.M._ARoomWithaView_Novel.txt",279,English,1908,"Forster,E.M.",ARoomWithaView,male,third,66445
"EN_1910_Forster,E.M._HowardsEnd_Novel.txt",280,English,1910,"Forster,E.M.",HowardsEnd,male,third,108619
"EN_1911_Barrie,J.M._PeterPan_Novel.txt",281,English,1911,"Barrie,J.M.",PeterPan,male,third,47295
